timestamp,message
2017-06-25 11:16:36.880,TRIALID 1
2017-06-25 11:16:36.962,!E TRIAL_EVENT_VAR fixation
2017-06-25 11:16:38.046,!E TRIAL_EVENT_VAR stroop_start
2017-06-25 11:16:38.743,!E TRIAL_EVENT_VAR response
2017-06-25 11:16:41.314,!V TRIAL_VAR block practice
2017-06-25 11:16:41.316,!V TRIAL_VAR stimulus_text text_3
2017-06-25 11:16:41.317,!V TRIAL_VAR stimulus_color color1
2017-06-25 11:16:41.318,!V TRIAL_VAR congruency neutral
2017-06-25 11:16:41.320,!V TRIAL_VAR accuracy correct
2017-06-25 11:16:41.320,TRIAL_END
2017-06-25 11:16:41.322,TRIALID 2
2017-06-25 11:16:41.363,!E TRIAL_EVENT_VAR fixation
2017-06-25 11:16:42.413,!E TRIAL_EVENT_VAR stroop_start
2017-06-25 11:16:42.902,!E TRIAL_EVENT_VAR response
2017-06-25 11:16:45.449,!V TRIAL_VAR block practice
2017-06-25 11:16:45.451,!V TRIAL_VAR stimulus_text text_2
2017-06-25 11:16:45.452,!V TRIAL_VAR stimulus_color color1
2017-06-25 11:16:45.452,!V TRIAL_VAR congruency incongruet
2017-06-25 11:16:45.453,!V TRIAL_VAR accuracy correct
2017-06-25 11:16:45.454,TRIAL_END
2017-06-25 11:16:45.455,TRIALID 3
2017-06-25 11:16:45.482,!E TRIAL_EVENT_VAR fixation
2017-06-25 11:16:46.532,!E TRIAL_EVENT_VAR stroop_start
2017-06-25 11:16:47.199,!E TRIAL_EVENT_VAR response
2017-06-25 11:16:49.749,!V TRIAL_VAR block practice
2017-06-25 11:16:49.750,!V TRIAL_VAR stimulus_text text_2
2017-06-25 11:16:49.751,!V TRIAL_VAR stimulus_color color1
2017-06-25 11:16:49.751,!V TRIAL_VAR congruency incongruet
2017-06-25 11:16:49.752,!V TRIAL_VAR accuracy correct
2017-06-25 11:16:49.753,TRIAL_END
2017-06-25 11:16:49.754,TRIALID 4
2017-06-25 11:16:49.800,!E TRIAL_EVENT_VAR fixation
2017-06-25 11:16:50.850,!E TRIAL_EVENT_VAR stroop_start
2017-06-25 11:16:51.199,!E TRIAL_EVENT_VAR response
2017-06-25 11:16:53.751,!V TRIAL_VAR block practice
2017-06-25 11:16:53.752,!V TRIAL_VAR stimulus_text text_3
2017-06-25 11:16:53.752,!V TRIAL_VAR stimulus_color color1
2017-06-25 11:16:53.752,!V TRIAL_VAR congruency neutral
2017-06-25 11:16:53.753,!V TRIAL_VAR accuracy correct
2017-06-25 11:16:53.753,TRIAL_END
2017-06-25 11:16:53.753,TRIALID 5
2017-06-25 11:16:53.785,!E TRIAL_EVENT_VAR fixation
2017-06-25 11:16:54.820,!E TRIAL_EVENT_VAR stroop_start
2017-06-25 11:16:55.143,!E TRIAL_EVENT_VAR response
2017-06-25 11:16:57.686,!V TRIAL_VAR block practice
2017-06-25 11:16:57.687,!V TRIAL_VAR stimulus_text text_3
2017-06-25 11:16:57.688,!V TRIAL_VAR stimulus_color color2
2017-06-25 11:16:57.689,!V TRIAL_VAR congruency neutral
2017-06-25 11:16:57.690,!V TRIAL_VAR accuracy correct
2017-06-25 11:16:57.690,TRIAL_END
2017-06-25 11:16:57.691,TRIALID 6
2017-06-25 11:16:57.736,!E TRIAL_EVENT_VAR fixation
2017-06-25 11:16:58.769,!E TRIAL_EVENT_VAR stroop_start
2017-06-25 11:16:59.191,!E TRIAL_EVENT_VAR response
2017-06-25 11:17:01.737,!V TRIAL_VAR block practice
2017-06-25 11:17:01.738,!V TRIAL_VAR stimulus_text text_2
2017-06-25 11:17:01.739,!V TRIAL_VAR stimulus_color color2
2017-06-25 11:17:01.739,!V TRIAL_VAR congruency congruet
2017-06-25 11:17:01.740,!V TRIAL_VAR accuracy correct
2017-06-25 11:17:01.740,TRIAL_END
2017-06-25 11:17:01.741,TRIALID 7
2017-06-25 11:17:01.787,!E TRIAL_EVENT_VAR fixation
2017-06-25 11:17:02.837,!E TRIAL_EVENT_VAR stroop_start
2017-06-25 11:17:03.168,!E TRIAL_EVENT_VAR response
2017-06-25 11:17:05.706,!V TRIAL_VAR block practice
2017-06-25 11:17:05.707,!V TRIAL_VAR stimulus_text text_2
2017-06-25 11:17:05.707,!V TRIAL_VAR stimulus_color color1
2017-06-25 11:17:05.708,!V TRIAL_VAR congruency incongruet
2017-06-25 11:17:05.709,!V TRIAL_VAR accuracy correct
2017-06-25 11:17:05.709,TRIAL_END
2017-06-25 11:17:05.710,TRIALID 8
2017-06-25 11:17:05.756,!E TRIAL_EVENT_VAR fixation
2017-06-25 11:17:06.807,!E TRIAL_EVENT_VAR stroop_start
2017-06-25 11:17:07.152,!E TRIAL_EVENT_VAR response
2017-06-25 11:17:09.690,!V TRIAL_VAR block practice
2017-06-25 11:17:09.691,!V TRIAL_VAR stimulus_text text_2
2017-06-25 11:17:09.692,!V TRIAL_VAR stimulus_color color2
2017-06-25 11:17:09.693,!V TRIAL_VAR congruency congruet
2017-06-25 11:17:09.694,!V TRIAL_VAR accuracy correct
2017-06-25 11:17:09.694,TRIAL_END
2017-06-25 11:17:09.695,TRIALID 9
2017-06-25 11:17:09.740,!E TRIAL_EVENT_VAR fixation
2017-06-25 11:17:10.790,!E TRIAL_EVENT_VAR stroop_start
2017-06-25 11:17:11.671,!E TRIAL_EVENT_VAR response
2017-06-25 11:17:14.209,!V TRIAL_VAR block practice
2017-06-25 11:17:14.210,!V TRIAL_VAR stimulus_text text_1
2017-06-25 11:17:14.211,!V TRIAL_VAR stimulus_color color2
2017-06-25 11:17:14.211,!V TRIAL_VAR congruency incongruet
2017-06-25 11:17:14.212,!V TRIAL_VAR accuracy correct
2017-06-25 11:17:14.213,TRIAL_END
2017-06-25 11:17:14.213,TRIALID 10
2017-06-25 11:17:14.259,!E TRIAL_EVENT_VAR fixation
2017-06-25 11:17:15.293,!E TRIAL_EVENT_VAR stroop_start
2017-06-25 11:17:16.040,!E TRIAL_EVENT_VAR response
2017-06-25 11:17:18.577,!V TRIAL_VAR block practice
2017-06-25 11:17:18.579,!V TRIAL_VAR stimulus_text text_2
2017-06-25 11:17:18.580,!V TRIAL_VAR stimulus_color color1
2017-06-25 11:17:18.581,!V TRIAL_VAR congruency incongruet
2017-06-25 11:17:18.582,!V TRIAL_VAR accuracy correct
2017-06-25 11:17:18.582,TRIAL_END
2017-06-25 11:17:18.696,Start inst
2017-06-25 11:17:20.139,End inst
2017-06-25 11:17:20.141,TRIALID 1
2017-06-25 11:17:20.194,!E TRIAL_EVENT_VAR fixation
2017-06-25 11:17:21.244,!E TRIAL_EVENT_VAR stroop_start
2017-06-25 11:17:22.064,!E TRIAL_EVENT_VAR response
2017-06-25 11:17:23.579,!V TRIAL_VAR block experiment
2017-06-25 11:17:23.580,!V TRIAL_VAR stimulus_text text_3
2017-06-25 11:17:23.581,!V TRIAL_VAR stimulus_color color1
2017-06-25 11:17:23.581,!V TRIAL_VAR congruency neutral
2017-06-25 11:17:23.582,!V TRIAL_VAR accuracy correct
2017-06-25 11:17:23.583,TRIAL_END
2017-06-25 11:17:23.584,TRIALID 2
2017-06-25 11:17:23.629,!E TRIAL_EVENT_VAR fixation
2017-06-25 11:17:24.662,!E TRIAL_EVENT_VAR stroop_start
2017-06-25 11:17:24.985,!E TRIAL_EVENT_VAR response
2017-06-25 11:17:26.496,!V TRIAL_VAR block experiment
2017-06-25 11:17:26.497,!V TRIAL_VAR stimulus_text text_2
2017-06-25 11:17:26.498,!V TRIAL_VAR stimulus_color color2
2017-06-25 11:17:26.498,!V TRIAL_VAR congruency congruet
2017-06-25 11:17:26.499,!V TRIAL_VAR accuracy correct
2017-06-25 11:17:26.500,TRIAL_END
2017-06-25 11:17:26.500,TRIALID 3
2017-06-25 11:17:26.546,!E TRIAL_EVENT_VAR fixation
2017-06-25 11:17:27.597,!E TRIAL_EVENT_VAR stroop_start
2017-06-25 11:17:28.896,!E TRIAL_EVENT_VAR response
2017-06-25 11:17:30.414,!V TRIAL_VAR block experiment
2017-06-25 11:17:30.414,!V TRIAL_VAR stimulus_text text_3
2017-06-25 11:17:30.415,!V TRIAL_VAR stimulus_color color1
2017-06-25 11:17:30.416,!V TRIAL_VAR congruency neutral
2017-06-25 11:17:30.417,!V TRIAL_VAR accuracy correct
2017-06-25 11:17:30.418,TRIAL_END
2017-06-25 11:17:30.419,TRIALID 4
2017-06-25 11:17:30.464,!E TRIAL_EVENT_VAR fixation
2017-06-25 11:17:31.498,!E TRIAL_EVENT_VAR stroop_start
2017-06-25 11:17:31.816,!E TRIAL_EVENT_VAR response
2017-06-25 11:17:33.332,!V TRIAL_VAR block experiment
2017-06-25 11:17:33.333,!V TRIAL_VAR stimulus_text text_2
2017-06-25 11:17:33.334,!V TRIAL_VAR stimulus_color color2
2017-06-25 11:17:33.334,!V TRIAL_VAR congruency congruet
2017-06-25 11:17:33.335,!V TRIAL_VAR accuracy correct
2017-06-25 11:17:33.335,TRIAL_END
2017-06-25 11:17:33.336,TRIALID 5
2017-06-25 11:17:33.366,!E TRIAL_EVENT_VAR fixation
2017-06-25 11:17:34.417,!E TRIAL_EVENT_VAR stroop_start
2017-06-25 11:17:35.017,!E TRIAL_EVENT_VAR response
2017-06-25 11:17:36.533,!V TRIAL_VAR block experiment
2017-06-25 11:17:36.534,!V TRIAL_VAR stimulus_text text_1
2017-06-25 11:17:36.535,!V TRIAL_VAR stimulus_color color2
2017-06-25 11:17:36.535,!V TRIAL_VAR congruency incongruet
2017-06-25 11:17:36.536,!V TRIAL_VAR accuracy incorrect
2017-06-25 11:17:36.537,TRIAL_END
2017-06-25 11:17:36.537,TRIALID 6
2017-06-25 11:17:36.584,!E TRIAL_EVENT_VAR fixation
2017-06-25 11:17:37.617,!E TRIAL_EVENT_VAR stroop_start
2017-06-25 11:17:38.537,!E TRIAL_EVENT_VAR response
2017-06-25 11:17:40.050,!V TRIAL_VAR block experiment
2017-06-25 11:17:40.051,!V TRIAL_VAR stimulus_text text_2
2017-06-25 11:17:40.052,!V TRIAL_VAR stimulus_color color1
2017-06-25 11:17:40.053,!V TRIAL_VAR congruency incongruet
2017-06-25 11:17:40.054,!V TRIAL_VAR accuracy correct
2017-06-25 11:17:40.054,TRIAL_END
2017-06-25 11:17:40.055,TRIALID 7
2017-06-25 11:17:40.084,!E TRIAL_EVENT_VAR fixation
2017-06-25 11:17:41.134,!E TRIAL_EVENT_VAR stroop_start
2017-06-25 11:17:41.545,!E TRIAL_EVENT_VAR response
2017-06-25 11:17:43.052,!V TRIAL_VAR block experiment
2017-06-25 11:17:43.053,!V TRIAL_VAR stimulus_text text_2
2017-06-25 11:17:43.053,!V TRIAL_VAR stimulus_color color1
2017-06-25 11:17:43.054,!V TRIAL_VAR congruency incongruet
2017-06-25 11:17:43.054,!V TRIAL_VAR accuracy correct
2017-06-25 11:17:43.054,TRIAL_END
